date,wareki,prefectures,item,count,unit,url
2022-11-01,令和4年11月,全国,常用労働者数,29390.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,北海道,常用労働者数,981.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,青森,常用労働者数,203.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岩手,常用労働者数,215.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮城,常用労働者数,416.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,秋田,常用労働者数,175.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山形,常用労働者数,216.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福島,常用労働者数,356.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,茨城,常用労働者数,630,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,栃木,常用労働者数,449.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,群馬,常用労働者数,446.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,埼玉,常用労働者数,1281.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,千葉,常用労働者数,1002,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,東京,常用労働者数,5621.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,神奈川,常用労働者数,1880.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,新潟,常用労働者数,449.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,富山,常用労働者数,253,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
